;NAME;CORES;CPUMARK;THREAD;TDP;SOCKET;CAT
;AArch64;4;833;368;NA;Unknown;Mobile/Embedded
;AArch64 rev 2 (aarch64);8;2409;908;NA;Unknown;Mobile/Embedded
;AArch64 rev 4 (aarch64);8;1813;588;NA;Unknown;Mobile/Embedded
;AC8257V/WAB;8;788;485;NA;Unknown;Unknown
;AC8259V/WAB;8;910;508;NA;Unknown;Mobile/Embedded
;Allwinner A133;4;668;409;NA;Unknown;Mobile/Embedded
;Allwinner A523;8;1906;585;NA;Unknown;Mobile/Embedded
;Allwinner A527;8;2297;678;NA;Unknown;Mobile/Embedded
;Allwinner A733;8;3392;1424;NA;Unknown;Mobile/Embedded
;Allwinner H618;4;623;396;NA;Unknown;Mobile/Embedded
;Allwinner h728;8;1953;616;NA;Unknown;Mobile/Embedded
;AMD 3015Ce;2;2099;1337;6;FT5;Mobile/Embedded
;AMD 3015e;2;2657;1340;6;Unknown;Laptop
;AMD 3020e;2;2412;1390;6;Unknown;Laptop
;AMD 4700S;8;17756;2348;NA;Unknown;Desktop
;AMD A10 Micro-6700T APU;4;1426;722;5;FT3b;Laptop
;AMD A10 PRO-7350B APU;4;1867;889;19;FP3;Laptop
;AMD A10 PRO-7800B APU;2;3315;1499;65;FM2+;Desktop
;AMD A10 PRO-7850B APU;2;3441;1565;95;FM2+;Desktop
;AMD A10-4600M APU;2;1943;1080;35;FS1r2;Laptop
;AMD A10-4655M APU;2;1651;896;25;FP2;Laptop
;AMD A10-4657M APU;4;1759;940;35;FP2;Laptop
;AMD A10-5700 APU;2;2742;1428;65;FM2;Desktop
;AMD A10-5745M APU;4;1771;944;25;FP2;Laptop
;AMD A10-5750M APU;4;2062;1171;35;FS1r2;Laptop
;AMD A10-5757M APU;4;1996;1150;35;FP2;Laptop
;AMD A10-5800B APU;2;3057;1586;100;FM2;Desktop
;AMD A10-5800K APU;2;2955;1492;100;FM2;Desktop
;AMD A10-6700 APU;4;3112;1605;65;FM2;Desktop
;AMD A10-6700T APU;2;2299;1290;45;FM2;Desktop
;AMD A10-6790K APU;2;3108;1559;100;FM2;Desktop
;AMD A10-6800B APU;2;3155;1666;100;FM2;Desktop
;AMD A10-6800K APU;2;3199;1594;100;FM2;Desktop
;AMD A10-7300 APU;4;1748;866;19;FP3;Laptop
;AMD A10-7400P;4;2120;1027;35;FP3;Laptop
;AMD A10-7700K APU;2;3181;1424;95;FM2+;Desktop
;AMD A10-7800 APU;2;3216;1458;65;FM2+;Desktop
;AMD A10-7850K APU;2;3388;1495;95;FM2+;Desktop
;AMD A10-7860K;2;3269;1486;65;FM2+;Desktop
;AMD A10-7870K;2;3496;1534;95;FM2+;Desktop
;AMD A10-7890K;2;3550;1587;95;FM2+;Desktop
;AMD A10-8700P;2;2248;1148;35;FP4;Laptop
;AMD A10-8750;2;3244;1510;65;FM2+;Desktop
;AMD A10-8850;2;3438;1608;NA;Unknown;Desktop
;AMD A10-9600P;4;2359;1160;15;FP4;Laptop
;AMD A10-9620P;4;2521;1261;15;Unknown;Laptop
;AMD A10-9630P;4;2946;1390;35;FP4;Laptop
;AMD A10-9700;4;3558;1621;65;AM4;Desktop
;AMD A10-9700E;4;3235;1513;35;AM4;Desktop
;AMD A12-9700P;4;2427;1217;15;FP4;Laptop
;AMD A12-9720P;4;2639;1306;15;FP4;Laptop
;AMD A12-9730P;4;3027;1417;35;FP4;Laptop
;AMD A12-9800;2;3684;1701;65;AM4;Desktop
;AMD A12-9800E;4;3471;1617;35;AM4;Desktop
